STATE,NAME,POPESTIMATE2018,POPEST18PLUS2018,PCNT_POPEST18PLUS
1,Alabama,4887871,3798031,77.7
2,Alaska,737438,553622,75.1
4,Arizona,7171646,5528989,77.1
5,Arkansas,3013825,2310645,76.7
6,California,39557045,30567090,77.3
8,Colorado,5695564,4430329,77.8
9,Connecticut,3572665,2837472,79.4
10,Delaware,967171,763555,78.9
11,District of Columbia,702455,574961,81.9
12,Florida,21299325,17070244,80.1
13,Georgia,10519475,8013724,76.2
15,Hawaii,1420491,1117077,78.6
16,Idaho,1754208,1307236,74.5
17,Illinois,12741080,9883814,77.6
18,Indiana,6691878,5123748,76.6
19,Iowa,3156145,2425378,76.8
20,Kansas,2911505,2205544,75.8
21,Kentucky,4468402,3459573,77.4
22,Louisiana,4659978,3564062,76.5
23,Maine,1338404,1088000,81.3
24,Maryland,6042718,4702570,77.8
25,Massachusetts,6902149,5535291,80.2
26,Michigan,9995915,7831247,78.3
27,Minnesota,5611179,4308564,76.8
28,Mississippi,2986530,2280389,76.4
29,Missouri,6126452,4749622,77.5
30,Montana,1062305,832871,78.4
31,Nebraska,1929268,1452427,75.3
32,Nevada,3034392,2345395,77.3
33,New Hampshire,1356458,1098288,81
34,New Jersey,8908520,6954877,78.1
35,New Mexico,2095428,1613275,77
36,New York,19542209,15474107,79.2
37,North Carolina,10383620,8082975,77.8
38,North Dakota,760077,581379,76.5
39,Ohio,11689442,9096117,77.8
40,Oklahoma,3943079,2986593,75.7
41,Oregon,4190713,3317146,79.2
42,Pennsylvania,12807060,10158149,79.3
44,Rhode Island,1057315,852102,80.6
45,South Carolina,5084127,3978182,78.2
46,South Dakota,882235,664629,75.3
47,Tennessee,6770010,5263790,77.8
48,Texas,28701845,21303746,74.2
49,Utah,3161105,2228643,70.5
50,Vermont,626299,510326,81.5
51,Virginia,8517685,6647893,78
53,Washington,7535591,5872306,77.9
54,West Virginia,1805832,1441672,79.8
55,Wisconsin,5813568,4537465,78
56,Wyoming,577737,442962,76.7
72,Puerto Rico Commonwealth,3195153,2601142,81.4
